State_Code,State,Cowin Key,District
CT,Chhattisgarh,Mungeli,Mungeli
CT,Chhattisgarh,Narayanpur,Narayanpur
CT,Chhattisgarh,Raigarh,Raigarh
CT,Chhattisgarh,Raipur,Raipur
CT,Chhattisgarh,Rajnandgaon,Rajnandgaon
CT,Chhattisgarh,Sukma,Sukma
CT,Chhattisgarh,Surajpur,Surajpur
CT,Chhattisgarh,Surguja,Surguja
DN,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli
DN,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman
DN,Dadra and Nagar Haveli and Daman and Diu,Diu,Diu
DL,Delhi,Central Delhi,Central Delhi
DL,Delhi,East Delhi,East Delhi
DL,Delhi,New Delhi,New Delhi
DL,Delhi,North Delhi,North Delhi
DL,Delhi,North East Delhi,North East Delhi
DL,Delhi,North West Delhi,North West Delhi
DL,Delhi,Shahdara,Shahdara
DL,Delhi,South Delhi,South Delhi
DL,Delhi,South East Delhi,South East Delhi
DL,Delhi,South West Delhi,South West Delhi
DL,Delhi,West Delhi,West Delhi
GA,Goa,North Goa,North Goa
GA,Goa,South Goa,South Goa
GJ,Gujarat,Ahmedabad,Ahmedabad
GJ,Gujarat,Ahmedabad Corporation,Ahmedabad
GJ,Gujarat,Amreli,Amreli
GJ,Gujarat,Anand,Anand
GJ,Gujarat,Aravalli,Aravalli
GJ,Gujarat,Banaskantha,Banaskantha
GJ,Gujarat,Bharuch,Bharuch
GJ,Gujarat,Bhavnagar,Bhavnagar
GJ,Gujarat,Bhavnagar Corporation,Bhavnagar
GJ,Gujarat,Botad,Botad
GJ,Gujarat,Chhotaudepur,Chhota Udaipur
GJ,Gujarat,Dahod,Dahod
GJ,Gujarat,Dang,Dang
GJ,Gujarat,Devbhumi Dwaraka,Devbhumi Dwarka
GJ,Gujarat,Gandhinagar,Gandhinagar
GJ,Gujarat,Gandhinagar Corporation,Gandhinagar
GJ,Gujarat,Gir Somnath,Gir Somnath
GJ,Gujarat,Jamnagar,Jamnagar
GJ,Gujarat,Jamnagar Corporation,Jamnagar
GJ,Gujarat,Junagadh,Junagadh
GJ,Gujarat,Junagadh Corporation,Junagadh
GJ,Gujarat,Kheda,Kheda
GJ,Gujarat,Kutch,Kutch
GJ,Gujarat,Mahisagar,Mahisagar
GJ,Gujarat,Mehsana,Mehsana
GJ,Gujarat,Morbi,Morbi
GJ,Gujarat,Narmada,Narmada
GJ,Gujarat,Navsari,Navsari
GJ,Gujarat,Panchmahal,Panchmahal
GJ,Gujarat,Patan,Patan
GJ,Gujarat,Porbandar,Porbandar
GJ,Gujarat,Rajkot,Rajkot
GJ,Gujarat,Rajkot Corporation,Rajkot
GJ,Gujarat,Sabarkantha,Sabarkantha
GJ,Gujarat,Surat,Surat
GJ,Gujarat,Surat Corporation,Surat
GJ,Gujarat,Surendranagar,Surendranagar
GJ,Gujarat,Tapi,Tapi
GJ,Gujarat,Vadodara,Vadodara
GJ,Gujarat,Vadodara Corporation,Vadodara
GJ,Gujarat,Valsad,Valsad
HR,Haryana,Ambala,Ambala
HR,Haryana,Bhiwani,Bhiwani
HR,Haryana,Charkhi Dadri,Charkhi Dadri
HR,Haryana,Faridabad,Faridabad
HR,Haryana,Fatehabad,Fatehabad
HR,Haryana,Gurgaon,Gurugram
HR,Haryana,Hisar,Hisar
HR,Haryana,Jhajjar,Jhajjar
HR,Haryana,Jind,Jind
HR,Haryana,Kaithal,Kaithal
HR,Haryana,Karnal,Karnal
HR,Haryana,Kurukshetra,Kurukshetra
HR,Haryana,Mahendragarh,Mahendragarh
HR,Haryana,Nuh,Nuh
HR,Haryana,Palwal,Palwal
HR,Haryana,Panchkula,Panchkula
HR,Haryana,Panipat,Panipat
HR,Haryana,Rewari,Rewari
HR,Haryana,Rohtak,Rohtak
HR,Haryana,Sirsa,Sirsa
HR,Haryana,Sonipat,Sonipat
HR,Haryana,Yamunanagar,Yamunanagar
HP,Himachal Pradesh,Bilaspur,Bilaspur
HP,Himachal Pradesh,Chamba,Chamba
HP,Himachal Pradesh,Hamirpur,Hamirpur
HP,Himachal Pradesh,Kangra,Kangra
HP,Himachal Pradesh,Kinnaur,Kinnaur
HP,Himachal Pradesh,Kullu,Kullu
HP,Himachal Pradesh,Lahaul Spiti,Lahaul and Spiti
HP,Himachal Pradesh,Mandi,Mandi
HP,Himachal Pradesh,Shimla,Shimla
HP,Himachal Pradesh,Sirmaur,Sirmaur
HP,Himachal Pradesh,Solan,Solan
HP,Himachal Pradesh,Una,Una
JK,Jammu and Kashmir,Anantnag,Anantnag
JK,Jammu and Kashmir,Bandipore,Bandipora
JK,Jammu and Kashmir,Baramulla,Baramulla
JK,Jammu and Kashmir,Budgam,Budgam
JK,Jammu and Kashmir,Doda,Doda
JK,Jammu and Kashmir,Ganderbal,Ganderbal
JK,Jammu and Kashmir,Jammu,Jammu
JK,Jammu and Kashmir,Kathua,Kathua
JK,Jammu and Kashmir,Kishtwar,Kishtwar
JK,Jammu and Kashmir,Kulgam,Kulgam
JK,Jammu and Kashmir,Kupwara,Kupwara
JK,Jammu and Kashmir,Poonch,Punch
JK,Jammu and Kashmir,Pulwama,Pulwama
JK,Jammu and Kashmir,Rajouri,Rajouri
JK,Jammu and Kashmir,Ramban,Ramban
JK,Jammu and Kashmir,Reasi,Reasi
JK,Jammu and Kashmir,Samba,Samba
JK,Jammu and Kashmir,Shopian,Shopiyan
JK,Jammu and Kashmir,Srinagar,Srinagar
JK,Jammu and Kashmir,Udhampur,Udhampur
JH,Jharkhand,Bokaro,Bokaro
JH,Jharkhand,Chatra,Chatra
JH,Jharkhand,Deoghar,Deoghar
JH,Jharkhand,Dhanbad,Dhanbad
JH,Jharkhand,Dumka,Dumka
JH,Jharkhand,East Singhbhum,East Singhbhum
JH,Jharkhand,Garhwa,Garhwa
JH,Jharkhand,Giridih,Giridih
JH,Jharkhand,Godda,Godda
JH,Jharkhand,Gumla,Gumla
JH,Jharkhand,Hazaribagh,Hazaribagh
JH,Jharkhand,Jamtara,Jamtara
JH,Jharkhand,Khunti,Khunti
JH,Jharkhand,Koderma,Koderma
JH,Jharkhand,Latehar,Latehar
JH,Jharkhand,Lohardaga,Lohardaga
JH,Jharkhand,Pakur,Pakur
JH,Jharkhand,Palamu,Palamu
JH,Jharkhand,Ramgarh,Ramgarh
JH,Jharkhand,Ranchi,Ranchi
JH,Jharkhand,Sahebganj,Sahibganj
JH,Jharkhand,Seraikela Kharsawan,Saraikela-Kharsawan
JH,Jharkhand,Simdega,Simdega
JH,Jharkhand,West Singhbhum,West Singhbhum
KA,Karnataka,Bagalkot,Bagalkote
KA,Karnataka,Bangalore Rural,Bengaluru Rural
KA,Karnataka,Bangalore Urban,Bengaluru Urban
KA,Karnataka,BBMP,Bengaluru Urban
KA,Karnataka,Belgaum,Belagavi
KA,Karnataka,Bellary,Ballari
KA,Karnataka,Bidar,Bidar
KA,Karnataka,Chamarajanagar,Chamarajanagara
KA,Karnataka,Chikamagalur,Chikkamagaluru
KA,Karnataka,Chikkaballapur,Chikkaballapura
KA,Karnataka,Chitradurga,Chitradurga
KA,Karnataka,Dakshina Kannada,Dakshina Kannada
KA,Karnataka,Davanagere,Davanagere
KA,Karnataka,Dharwad,Dharwad
KA,Karnataka,Gadag,Gadag
KA,Karnataka,Gulbarga,Kalaburagi
KA,Karnataka,Hassan,Hassan
KA,Karnataka,Haveri,Haveri
KA,Karnataka,Kodagu,Kodagu
KA,Karnataka,Kolar,Kolar
KA,Karnataka,Koppal,Koppal
KA,Karnataka,Mandya,Mandya
KA,Karnataka,Mysore,Mysuru
KA,Karnataka,Raichur,Raichur
KA,Karnataka,Ramanagara,Ramanagara
KA,Karnataka,Shimoga,Shivamogga
KA,Karnataka,Tumkur,Tumakuru
KA,Karnataka,Udupi,Udupi
KA,Karnataka,Uttar Kannada,Uttara Kannada
KA,Karnataka,Vijayapura,Vijayapura
KA,Karnataka,Yadgir,Yadgir
KL,Kerala,Alappuzha,Alappuzha
KL,Kerala,Ernakulam,Ernakulam
KL,Kerala,Idukki,Idukki
KL,Kerala,Kannur,Kannur
KL,Kerala,Kasaragod,Kasaragod
KL,Kerala,Kollam,Kollam
KL,Kerala,Kottayam,Kottayam
KL,Kerala,Kozhikode,Kozhikode
KL,Kerala,Malappuram,Malappuram
KL,Kerala,Palakkad,Palakkad
KL,Kerala,Pathanamthitta,Pathanamthitta
KL,Kerala,Thiruvananthapuram,Thiruvananthapuram
KL,Kerala,Thrissur,Thrissur
KL,Kerala,Wayanad,Wayanad
LA,Ladakh,Kargil,Kargil
LA,Ladakh,Leh,Leh
LD,Lakshadweep,Lakshadweep,Lakshadweep
MP,Madhya Pradesh,Agar,Agar Malwa
MP,Madhya Pradesh,Alirajpur,Alirajpur
MP,Madhya Pradesh,Anuppur,Anuppur
MP,Madhya Pradesh,Ashoknagar,Ashoknagar
MP,Madhya Pradesh,Balaghat,Balaghat
MP,Madhya Pradesh,Barwani,Barwani
MP,Madhya Pradesh,Betul,Betul
MP,Madhya Pradesh,Bhind,Bhind
MP,Madhya Pradesh,Bhopal,Bhopal
MP,Madhya Pradesh,Burhanpur,Burhanpur
MP,Madhya Pradesh,Chhatarpur,Chhatarpur
MP,Madhya Pradesh,Chhindwara,Chhindwara
MP,Madhya Pradesh,Damoh,Damoh
MP,Madhya Pradesh,Datia,Datia
MP,Madhya Pradesh,Dewas,Dewas
MP,Madhya Pradesh,Dhar,Dhar
MP,Madhya Pradesh,Dindori,Dindori
MP,Madhya Pradesh,Guna,Guna
MP,Madhya Pradesh,Gwalior,Gwalior
MP,Madhya Pradesh,Harda,Harda
MP,Madhya Pradesh,Hoshangabad,Hoshangabad
MP,Madhya Pradesh,Indore,Indore
MP,Madhya Pradesh,Jabalpur,Jabalpur
MP,Madhya Pradesh,Jhabua,Jhabua
MP,Madhya Pradesh,Katni,Katni
MP,Madhya Pradesh,Khandwa,Khandwa
MP,Madhya Pradesh,Khargone,Khargone
MP,Madhya Pradesh,Mandla,Mandla
MP,Madhya Pradesh,Mandsaur,Mandsaur
MP,Madhya Pradesh,Morena,Morena
MP,Madhya Pradesh,Narsinghpur,Narsinghpur
MP,Madhya Pradesh,Neemuch,Neemuch
MP,Madhya Pradesh,Panna,Panna
MP,Madhya Pradesh,Raisen,Raisen
MP,Madhya Pradesh,Rajgarh,Rajgarh
MP,Madhya Pradesh,Ratlam,Ratlam
MP,Madhya Pradesh,Rewa,Rewa
MP,Madhya Pradesh,Sagar,Sagar
MP,Madhya Pradesh,Satna,Satna
MP,Madhya Pradesh,Sehore,Sehore
MP,Madhya Pradesh,Seoni,Seoni
MP,Madhya Pradesh,Shahdol,Shahdol
MP,Madhya Pradesh,Shajapur,Shajapur
MP,Madhya Pradesh,Sheopur,Sheopur
MP,Madhya Pradesh,Shivpuri,Shivpuri
MP,Madhya Pradesh,Sidhi,Sidhi
MP,Madhya Pradesh,Singrauli,Singrauli
MP,Madhya Pradesh,Tikamgarh,Tikamgarh
MP,Madhya Pradesh,Ujjain,Ujjain
MP,Madhya Pradesh,Umaria,Umaria
MP,Madhya Pradesh,Vidisha,Vidisha
MH,Maharashtra,Ahmednagar,Ahmednagar
MH,Maharashtra,Akola,Akola
MH,Maharashtra,Amravati,Amravati
MH,Maharashtra,Aurangabad,Aurangabad
MH,Maharashtra,Beed,Beed
MH,Maharashtra,Bhandara,Bhandara
MH,Maharashtra,Buldhana,Buldhana
MH,Maharashtra,Chandrapur,Chandrapur
MH,Maharashtra,Dhule,Dhule
MH,Maharashtra,Gadchiroli,Gadchiroli
MH,Maharashtra,Gondia,Gondia
MH,Maharashtra,Hingoli,Hingoli
MH,Maharashtra,Jalgaon,Jalgaon
MH,Maharashtra,Jalna,Jalna
MH,Maharashtra,Kolhapur,Kolhapur
MH,Maharashtra,Latur,Latur
MH,Maharashtra,Mumbai,Mumbai
MH,Maharashtra,Nagpur,Nagpur
MH,Maharashtra,Nanded,Nanded
MH,Maharashtra,Nandurbar,Nandurbar
MH,Maharashtra,Nashik,Nashik
MH,Maharashtra,Osmanabad,Osmanabad
MH,Maharashtra,Palghar,Palghar
MH,Maharashtra,Parbhani,Parbhani
MH,Maharashtra,Pune,Pune
MH,Maharashtra,Raigad,Raigad
MH,Maharashtra,Ratnagiri,Ratnagiri
MH,Maharashtra,Sangli,Sangli
MH,Maharashtra,Satara,Satara
MH,Maharashtra,Sindhudurg,Sindhudurg
MH,Maharashtra,Solapur,Solapur
MH,Maharashtra,Thane,Thane
MH,Maharashtra,Wardha,Wardha
MH,Maharashtra,Washim,Washim
MH,Maharashtra,Yavatmal,Yavatmal
MN,Manipur,Bishnupur,Bishnupur
MN,Manipur,Chandel,Chandel
MN,Manipur,Churachandpur,Churachandpur
MN,Manipur,Imphal East,Imphal East
MN,Manipur,Imphal West,Imphal West
MN,Manipur,Jiribam,Jiribam
MN,Manipur,Kakching,Kakching
MN,Manipur,Kamjong,Kamjong
MN,Manipur,Kangpokpi,Kangpokpi
MN,Manipur,Noney,Noney
MN,Manipur,Pherzawl,Pherzawl
MN,Manipur,Senapati,Senapati
MN,Manipur,Tamenglong,Tamenglong
MN,Manipur,Tengnoupal,Tengnoupal
MN,Manipur,Thoubal,Thoubal
MN,Manipur,Ukhrul,Ukhrul
ML,Meghalaya,East Garo Hills,East Garo Hills
ML,Meghalaya,East Jaintia Hills,East Jaintia Hills
ML,Meghalaya,East Khasi Hills,East Khasi Hills
ML,Meghalaya,North Garo Hills,North Garo Hills
ML,Meghalaya,Ri-Bhoi,Ribhoi
ML,Meghalaya,South Garo Hills,South Garo Hills
ML,Meghalaya,South West Garo Hills,South West Garo Hills
ML,Meghalaya,South West Khasi Hills,South West Khasi Hills
ML,Meghalaya,West Garo Hills,West Garo Hills
ML,Meghalaya,West Jaintia Hills,West Jaintia Hills
ML,Meghalaya,West Khasi Hills,West Khasi Hills
MZ,Mizoram,Aizawl East,Aizawl
MZ,Mizoram,Aizawl West,Aizawl
MZ,Mizoram,Champhai,Champhai
MZ,Mizoram,Kolasib,Kolasib
MZ,Mizoram,Lawngtlai,Lawngtlai
MZ,Mizoram,Lunglei,Lunglei
MZ,Mizoram,Mamit,Mamit
MZ,Mizoram,Serchhip,Serchhip
MZ,Mizoram,Siaha,Saiha
NL,Nagaland,Dimapur,Dimapur
NL,Nagaland,Kiphire,Kiphire
NL,Nagaland,Kohima,Kohima
NL,Nagaland,Longleng,Longleng
NL,Nagaland,Mokokchung,Mokokchung
NL,Nagaland,Mon,Mon
NL,Nagaland,Peren,Peren
NL,Nagaland,Phek,Phek
NL,Nagaland,Tuensang,Tuensang
NL,Nagaland,Wokha,Wokha
NL,Nagaland,Zunheboto,Zunheboto
OR,Odisha,Angul,Angul
OR,Odisha,Balangir,Balangir
OR,Odisha,Balasore,Balasore
OR,Odisha,Bargarh,Bargarh
OR,Odisha,Bhadrak,Bhadrak
OR,Odisha,Boudh,Boudh
OR,Odisha,Cuttack,Cuttack
OR,Odisha,Deogarh,Deogarh
OR,Odisha,Dhenkanal,Dhenkanal
OR,Odisha,Gajapati,Gajapati
OR,Odisha,Ganjam,Ganjam
OR,Odisha,Jagatsinghpur,Jagatsinghpur
OR,Odisha,Jajpur,Jajpur
OR,Odisha,Jharsuguda,Jharsuguda
OR,Odisha,Kalahandi,Kalahandi
OR,Odisha,Kandhamal,Kandhamal
OR,Odisha,Kendrapara,Kendrapara
OR,Odisha,Kendujhar,Kendujhar
OR,Odisha,Khurda,Khordha
OR,Odisha,Koraput,Koraput
OR,Odisha,Malkangiri,Malkangiri
OR,Odisha,Mayurbhanj,Mayurbhanj
OR,Odisha,Nabarangpur,Nabarangapur
OR,Odisha,Nayagarh,Nayagarh
OR,Odisha,Nuapada,Nuapada
OR,Odisha,Puri,Puri
OR,Odisha,Rayagada,Rayagada
OR,Odisha,Sambalpur,Sambalpur
OR,Odisha,Subarnapur,Subarnapur
OR,Odisha,Sundargarh,Sundargarh
PY,Puducherry,Karaikal,Karaikal
PY,Puducherry,Mahe,Mahe
PY,Puducherry,Puducherry,Puducherry
PY,Puducherry,Yanam,Yanam
PB,Punjab,Amritsar,Amritsar
PB,Punjab,Barnala,Barnala
PB,Punjab,Bathinda,Bathinda
PB,Punjab,Faridkot,Faridkot
PB,Punjab,Fatehgarh Sahib,Fatehgarh Sahib
PB,Punjab,Fazilka,Fazilka
PB,Punjab,Ferozpur,Ferozepur
PB,Punjab,Gurdaspur,Gurdaspur
PB,Punjab,Hoshiarpur,Hoshiarpur
PB,Punjab,Jalandhar,Jalandhar
PB,Punjab,Kapurthala,Kapurthala
PB,Punjab,Ludhiana,Ludhiana
PB,Punjab,Mansa,Mansa
PB,Punjab,Moga,Moga
PB,Punjab,Pathankot,Pathankot
PB,Punjab,Patiala,Patiala
PB,Punjab,Rup Nagar,Rupnagar
PB,Punjab,Sangrur,Sangrur
PB,Punjab,SAS Nagar,S.A.S. Nagar
PB,Punjab,SBS Nagar,Shahid Bhagat Singh Nagar
PB,Punjab,Sri Muktsar Sahib,Sri Muktsar Sahib
PB,Punjab,Tarn Taran,Tarn Taran
RJ,Rajasthan,Ajmer,Ajmer
RJ,Rajasthan,Alwar,Alwar
RJ,Rajasthan,Banswara,Banswara
RJ,Rajasthan,Baran,Baran
RJ,Rajasthan,Barmer,Barmer
RJ,Rajasthan,Bharatpur,Bharatpur
RJ,Rajasthan,Bhilwara,Bhilwara
RJ,Rajasthan,Bikaner,Bikaner
RJ,Rajasthan,Bundi,Bundi
RJ,Rajasthan,Chittorgarh,Chittorgarh
RJ,Rajasthan,Churu,Churu
RJ,Rajasthan,Dausa,Dausa
RJ,Rajasthan,Dholpur,Dholpur
RJ,Rajasthan,Dungarpur,Dungarpur
RJ,Rajasthan,Hanumangarh,Hanumangarh
RJ,Rajasthan,Jaipur I,Jaipur
RJ,Rajasthan,Jaipur II,Jaipur
RJ,Rajasthan,Jaisalmer,Jaisalmer
RJ,Rajasthan,Jalore,Jalore
RJ,Rajasthan,Jhalawar,Jhalawar
RJ,Rajasthan,Jhunjhunu,Jhunjhunu
RJ,Rajasthan,Jodhpur,Jodhpur
RJ,Rajasthan,Karauli,Karauli
RJ,Rajasthan,Kota,Kota
RJ,Rajasthan,Nagaur,Nagaur
RJ,Rajasthan,Pali,Pali
RJ,Rajasthan,Pratapgarh,Pratapgarh
RJ,Rajasthan,Rajsamand,Rajsamand
RJ,Rajasthan,Sawai Madhopur,Sawai Madhopur
RJ,Rajasthan,Sikar,Sikar
RJ,Rajasthan,Sirohi,Sirohi
RJ,Rajasthan,Sri Ganganagar,Ganganagar
RJ,Rajasthan,Tonk,Tonk
RJ,Rajasthan,Udaipur,Udaipur
SK,Sikkim,East Sikkim,East Sikkim
SK,Sikkim,North Sikkim,North Sikkim
SK,Sikkim,South Sikkim,South Sikkim
SK,Sikkim,West Sikkim,West Sikkim
TN,Tamil Nadu,Aranthangi,Pudukkottai
TN,Tamil Nadu,Ariyalur,Ariyalur
TN,Tamil Nadu,Attur,Salem
TN,Tamil Nadu,Chengalpet,Chengalpattu
TN,Tamil Nadu,Chennai,Chennai
TN,Tamil Nadu,Cheyyar,Tiruvannamalai
TN,Tamil Nadu,Coimbatore,Coimbatore
TN,Tamil Nadu,Cuddalore,Cuddalore
TN,Tamil Nadu,Dharmapuri,Dharmapuri
TN,Tamil Nadu,Dindigul,Dindigul
TN,Tamil Nadu,Erode,Erode
TN,Tamil Nadu,Kallakurichi,Kallakurichi
TN,Tamil Nadu,Kanchipuram,Kancheepuram
TN,Tamil Nadu,Kanyakumari,Kanyakumari
TN,Tamil Nadu,Karur,Karur
TN,Tamil Nadu,Kovilpatti,Thoothukkudi
TN,Tamil Nadu,Krishnagiri,Krishnagiri
TN,Tamil Nadu,Madurai,Madurai
TN,Tamil Nadu,Nagapattinam,Nagapattinam
TN,Tamil Nadu,Namakkal,Namakkal
TN,Tamil Nadu,Nilgiris,Nilgiris
TN,Tamil Nadu,Palani,Dindigul
TN,Tamil Nadu,Paramakudi,Ramanathapuram
TN,Tamil Nadu,Perambalur,Perambalur
TN,Tamil Nadu,Poonamallee,Thiruvallur
TN,Tamil Nadu,Pudukkottai,Pudukkottai
TN,Tamil Nadu,Ramanathapuram,Ramanathapuram
TN,Tamil Nadu,Ranipet,Ranipet
TN,Tamil Nadu,Salem,Salem
TN,Tamil Nadu,Sivaganga,Sivaganga
TN,Tamil Nadu,Sivakasi,Virudhunagar
TN,Tamil Nadu,Tenkasi,Tenkasi
TN,Tamil Nadu,Thanjavur,Thanjavur
TN,Tamil Nadu,Theni,Theni
TN,Tamil Nadu,Thoothukudi (Tuticorin),Thoothukkudi
TN,Tamil Nadu,Tiruchirappalli,Tiruchirappalli
TN,Tamil Nadu,Tirunelveli,Tirunelveli
TN,Tamil Nadu,Tirupattur,Tirupathur
TN,Tamil Nadu,Tiruppur,Tiruppur
TN,Tamil Nadu,Tiruvallur,Thiruvallur
TN,Tamil Nadu,Tiruvannamalai,Tiruvannamalai
TN,Tamil Nadu,Tiruvarur,Thiruvarur
TN,Tamil Nadu,Vellore,Vellore
TN,Tamil Nadu,Viluppuram,Viluppuram
TN,Tamil Nadu,Virudhunagar,Virudhunagar
TG,Telangana,Adilabad,Adilabad
TG,Telangana,Bhadradri Kothagudem,Bhadradri Kothagudem
TG,Telangana,Hyderabad,Hyderabad
TG,Telangana,Jagtial,Jagtial
